chrom	pos	side	support	median_mapq	median_cliplen	example_reads	genes
chr22	15854614	L	1	255	79	A01045:715:HMN2KDSX2:3:2646:20012:22905	TOMM40P2
chr22	15854798	R	1	255	71	A01045:715:HMN2KDSX2:3:2109:5819:32268	TOMM40P2
chr22	15933103	R	1	255	48	A01045:715:HMN2KDSX2:3:1538:1506:36385	
chr22	16154444	L	1	255	27	A01045:715:HMN2KDSX2:3:1465:29550:36417	
chr22	16154566	R	1	255	27	A01045:715:HMN2KDSX2:3:1465:29550:36417	
chr22	16517518	L	1	255	76	A01045:715:HMN2KDSX2:3:2246:16315:8516	
chr22	16548697	L	1	255	33	A01045:715:HMN2KDSX2:3:2653:20491:20635	
chr22	16548813	R	1	255	33	A01045:715:HMN2KDSX2:3:2653:20491:20635	
chr22	16556045	L	1	255	27	A01045:715:HMN2KDSX2:3:1538:21404:10942	
chr22	16556123	L	1	255	22	A01045:715:HMN2KDSX2:3:1144:25319:17221	
chr22	16581235	L	1	255	40	A01045:715:HMN2KDSX2:3:2552:27923:36135	
chr22	16582562	R	1	255	41	A01045:715:HMN2KDSX2:3:2552:27923:36135	
chr22	16595171	L	5	255	28	A01045:715:HMN2KDSX2:3:1252:5954:35070,A01045:715:HMN2KDSX2:3:1365:11071:23985,A01045:715:HMN2KDSX2:3:2155:17960:16125	FABP5P11
chr22	16595261	L	1	255	25	A01045:715:HMN2KDSX2:3:1654:29622:7420	FABP5P11
chr22	16595293	R	5	255	28	A01045:715:HMN2KDSX2:3:2155:17960:16125,A01045:715:HMN2KDSX2:3:1252:5954:35070,A01045:715:HMN2KDSX2:3:1365:11071:23985	FABP5P11
chr22	16595385	R	1	255	25	A01045:715:HMN2KDSX2:3:1654:29622:7420	FABP5P11
chr22	16638624	L	1	255	22	A01045:715:HMN2KDSX2:3:2362:4969:25097	
chr22	16638751	R	1	255	22	A01045:715:HMN2KDSX2:3:2362:4969:25097	
chr22	17055617	L	1	255	73	A01045:715:HMN2KDSX2:3:1136:15790:10457	
chr22	17057263	R	2	255	61	A01045:715:HMN2KDSX2:3:2250:26268:17300,A01045:715:HMN2KDSX2:3:2632:4924:4914	
chr22	17063179	L	1	255	48	A01045:715:HMN2KDSX2:3:1471:6632:21966	
chr22	17063280	R	1	255	48	A01045:715:HMN2KDSX2:3:1471:6632:21966	
chr22	17065190	L	1	255	71	A01045:715:HMN2KDSX2:3:1652:24560:4069	
chr22	17077937	R	1	255	54	A01045:715:HMN2KDSX2:3:1151:6894:4163	
chr22	17085094	L	1	255	63	A01045:715:HMN2KDSX2:3:2115:4472:6355	IL17RA
chr22	17086007	R	1	255	41	A01045:715:HMN2KDSX2:3:2306:25265:19695	IL17RA
chr22	17090382	R	1	255	40	A01045:715:HMN2KDSX2:3:2157:1687:36135	IL17RA
chr22	17090407	L	1	255	25	A01045:715:HMN2KDSX2:3:2157:1687:36135	IL17RA
chr22	17098887	R	1	255	101	A01045:715:HMN2KDSX2:3:2445:18783:30389	
chr22	17099187	L	3	255	35	A01045:715:HMN2KDSX2:3:1275:24749:10911,A01045:715:HMN2KDSX2:3:1529:8413:5040,A01045:715:HMN2KDSX2:3:2203:28212:32189	
chr22	17100012	L	3	255	23	A01045:715:HMN2KDSX2:3:1516:2546:35869,A01045:715:HMN2KDSX2:3:2178:20121:36589,A01045:715:HMN2KDSX2:3:2338:19759:26725	
chr22	17100127	L	3	255	29	A01045:715:HMN2KDSX2:3:2166:5050:20917,A01045:715:HMN2KDSX2:3:2349:27896:17675,A01045:715:HMN2KDSX2:3:1636:2754:24799	
chr22	17100138	R	3	255	23	A01045:715:HMN2KDSX2:3:1516:2546:35869,A01045:715:HMN2KDSX2:3:2178:20121:36589,A01045:715:HMN2KDSX2:3:2338:19759:26725	
chr22	17100247	R	3	255	29	A01045:715:HMN2KDSX2:3:1636:2754:24799,A01045:715:HMN2KDSX2:3:2166:5050:20917,A01045:715:HMN2KDSX2:3:2349:27896:17675	
chr22	17100691	L	1	255	23	A01045:715:HMN2KDSX2:3:2376:31232:5447	
chr22	17100817	R	1	255	23	A01045:715:HMN2KDSX2:3:2376:31232:5447	
chr22	17102147	L	1	255	96	A01045:715:HMN2KDSX2:3:1148:1832:10958	
chr22	17104756	L	2	255	24	A01045:715:HMN2KDSX2:3:1224:23276:22138,A01045:715:HMN2KDSX2:3:1474:5629:14528	
chr22	17105911	R	2	255	24	A01045:715:HMN2KDSX2:3:1224:23276:22138,A01045:715:HMN2KDSX2:3:1474:5629:14528	
chr22	17108371	L	3	255	24	A01045:715:HMN2KDSX2:3:1552:28718:8108,A01045:715:HMN2KDSX2:3:2352:18792:21512,A01045:715:HMN2KDSX2:3:2107:9200:36119	
chr22	17108474	L	1	255	50	A01045:715:HMN2KDSX2:3:1616:20889:36354	
chr22	17108521	R	6	255	25	A01045:715:HMN2KDSX2:3:1552:28718:8108,A01045:715:HMN2KDSX2:3:2352:18792:21512,A01045:715:HMN2KDSX2:3:2248:27932:31015	
chr22	17108573	R	1	255	50	A01045:715:HMN2KDSX2:3:1616:20889:36354	
chr22	17108576	L	2	255	42	A01045:715:HMN2KDSX2:3:1304:27145:22795,A01045:715:HMN2KDSX2:3:2233:10945:18035	
chr22	17108683	R	2	255	42	A01045:715:HMN2KDSX2:3:1304:27145:22795,A01045:715:HMN2KDSX2:3:2233:10945:18035	
chr22	17108843	L	4	255	67	A01045:715:HMN2KDSX2:3:2610:3586:20447,A01045:715:HMN2KDSX2:3:2610:1895:20650,A01045:715:HMN2KDSX2:3:1301:16803:3881	
chr22	17108974	R	1	255	24	A01045:715:HMN2KDSX2:3:1301:16803:3881	
chr22	17109049	L	1	255	32	A01045:715:HMN2KDSX2:3:1107:16676:19789	
chr22	17109160	L	1	255	57	A01045:715:HMN2KDSX2:3:2655:16134:4413	
chr22	17109166	R	1	255	32	A01045:715:HMN2KDSX2:3:1107:16676:19789	
chr22	17109273	L	4	255	28	A01045:715:HMN2KDSX2:3:1678:25446:29027,A01045:715:HMN2KDSX2:3:2463:9335:19820,A01045:715:HMN2KDSX2:3:2511:24831:35884	
chr22	17109391	L	4	255	26	A01045:715:HMN2KDSX2:3:1214:26784:4476,A01045:715:HMN2KDSX2:3:1325:3269:20212,A01045:715:HMN2KDSX2:3:1439:21269:21543	
chr22	17109394	R	4	255	27	A01045:715:HMN2KDSX2:3:1678:25446:29027,A01045:715:HMN2KDSX2:3:2463:9335:19820,A01045:715:HMN2KDSX2:3:2511:24831:35884	
chr22	17109514	R	4	255	26	A01045:715:HMN2KDSX2:3:1214:26784:4476,A01045:715:HMN2KDSX2:3:1325:3269:20212,A01045:715:HMN2KDSX2:3:1439:21269:21543	
chr22	17109587	R	2	255	77	A01045:715:HMN2KDSX2:3:2153:21621:11068,A01045:715:HMN2KDSX2:3:2153:20754:11694	
chr22	17110047	L	2	255	44	A01045:715:HMN2KDSX2:3:1115:17192:4961,A01045:715:HMN2KDSX2:3:2440:28366:1799	
chr22	17110111	L	2	255	33	A01045:715:HMN2KDSX2:3:1106:32796:17957,A01045:715:HMN2KDSX2:3:1667:4345:7607	
chr22	17110152	R	2	255	44	A01045:715:HMN2KDSX2:3:1115:17192:4961,A01045:715:HMN2KDSX2:3:2440:28366:1799	
chr22	17110227	R	2	255	33	A01045:715:HMN2KDSX2:3:1106:32796:17957,A01045:715:HMN2KDSX2:3:1667:4345:7607	
chr22	17110418	L	2	255	44	A01045:715:HMN2KDSX2:3:1511:4689:35853,A01045:715:HMN2KDSX2:3:1141:13069:19335	
chr22	17110498	L	3	255	50	A01045:715:HMN2KDSX2:3:1352:15130:27038,A01045:715:HMN2KDSX2:3:1654:2248:12148,A01045:715:HMN2KDSX2:3:2104:25861:9956	
chr22	17110516	R	1	255	47	A01045:715:HMN2KDSX2:3:1502:3423:6230	
chr22	17110670	R	1	255	42	A01045:715:HMN2KDSX2:3:2132:8097:19867	
chr22	17110802	L	1	255	34	A01045:715:HMN2KDSX2:3:2673:16839:21167	
chr22	17110917	R	1	255	34	A01045:715:HMN2KDSX2:3:2673:16839:21167	
chr22	17111010	R	1	255	33	A01045:715:HMN2KDSX2:3:1474:12599:25629	
chr22	17111208	L	2	255	50	A01045:715:HMN2KDSX2:3:1533:17002:36542,A01045:715:HMN2KDSX2:3:2113:30581:24298	
chr22	17111307	R	2	255	50	A01045:715:HMN2KDSX2:3:1533:17002:36542,A01045:715:HMN2KDSX2:3:2113:30581:24298	
chr22	17111359	L	1	255	53	A01045:715:HMN2KDSX2:3:1118:3794:9001	
chr22	17111434	L	1	255	25	A01045:715:HMN2KDSX2:3:1178:1976:3662	
chr22	17111508	L	1	255	50	A01045:715:HMN2KDSX2:3:1140:2609:28401	
chr22	17111601	R	3	255	50	A01045:715:HMN2KDSX2:3:1178:1976:3662,A01045:715:HMN2KDSX2:3:1359:18918:30812,A01045:715:HMN2KDSX2:3:1140:2609:28401	
chr22	17111691	R	3	255	96	A01045:715:HMN2KDSX2:3:1347:5620:33927,A01045:715:HMN2KDSX2:3:1347:2998:36401,A01045:715:HMN2KDSX2:3:2227:32759:20462	
chr22	17111703	L	1	255	31	A01045:715:HMN2KDSX2:3:2440:23999:3443	
chr22	17111821	R	1	255	31	A01045:715:HMN2KDSX2:3:2440:23999:3443	
chr22	17111980	R	1	255	86	A01045:715:HMN2KDSX2:3:2102:3233:15264	
chr22	17111985	L	1	255	47	A01045:715:HMN2KDSX2:3:2528:31729:14168	
chr22	17112087	R	1	255	47	A01045:715:HMN2KDSX2:3:2528:31729:14168	
chr22	17112157	R	1	255	57	A01045:715:HMN2KDSX2:3:1456:5556:30843	
chr22	17112368	L	3	255	40	A01045:715:HMN2KDSX2:3:1460:26286:25003,A01045:715:HMN2KDSX2:3:1460:26440:25708,A01045:715:HMN2KDSX2:3:1641:6732:1376	
chr22	17112486	R	11	255	32	A01045:715:HMN2KDSX2:3:1460:26286:25003,A01045:715:HMN2KDSX2:3:1460:26440:25708,A01045:715:HMN2KDSX2:3:1641:6732:1376	
chr22	17112519	L	1	255	41	A01045:715:HMN2KDSX2:3:1403:18041:22717	
chr22	17112599	L	1	255	35	A01045:715:HMN2KDSX2:3:1477:1280:9659	
chr22	17112691	R	3	255	81	A01045:715:HMN2KDSX2:3:1378:18900:12399,A01045:715:HMN2KDSX2:3:2256:19470:25535,A01045:715:HMN2KDSX2:3:2526:13602:37043	
chr22	17112759	R	1	255	22	A01045:715:HMN2KDSX2:3:1422:25229:24612	
chr22	17113013	R	3	255	43	A01045:715:HMN2KDSX2:3:1370:4553:12164,A01045:715:HMN2KDSX2:3:2447:17255:31156,A01045:715:HMN2KDSX2:3:1625:28646:5603	
chr22	17113465	L	2	255	93	A01045:715:HMN2KDSX2:3:2552:13105:24439,A01045:715:HMN2KDSX2:3:2642:13169:15029	
chr22	17114663	L	2	255	82	A01045:715:HMN2KDSX2:3:1352:12762:2769,A01045:715:HMN2KDSX2:3:1438:23375:11882	
chr22	17115420	L	1	255	32	A01045:715:HMN2KDSX2:3:2121:15962:14105	
chr22	17115537	R	1	255	32	A01045:715:HMN2KDSX2:3:2121:15962:14105	
chr22	17115586	L	2	255	53	A01045:715:HMN2KDSX2:3:1305:4327:3349,A01045:715:HMN2KDSX2:3:1513:15664:21355	
chr22	17115666	R	2	255	72	A01045:715:HMN2KDSX2:3:2441:29921:36119,A01045:715:HMN2KDSX2:3:2603:20952:6370	
chr22	17137566	L	2	255	48	A01045:715:HMN2KDSX2:3:2660:8829:24048,A01045:715:HMN2KDSX2:3:1354:2763:7216	HDHD5
chr22	17137629	L	3	255	35	A01045:715:HMN2KDSX2:3:1173:32886:20619,A01045:715:HMN2KDSX2:3:1452:12391:31062,A01045:715:HMN2KDSX2:3:1625:3830:8155	HDHD5
chr22	17137687	L	2	255	66	A01045:715:HMN2KDSX2:3:1555:5602:16391,A01045:715:HMN2KDSX2:3:1606:28962:17112	HDHD5
chr22	17137743	R	5	255	35	A01045:715:HMN2KDSX2:3:1354:2763:7216,A01045:715:HMN2KDSX2:3:1220:5050:29653,A01045:715:HMN2KDSX2:3:1173:32886:20619	HDHD5
chr22	17137787	L	6	255	34	A01045:715:HMN2KDSX2:3:2351:25220:6746,A01045:715:HMN2KDSX2:3:2351:25409:6762,A01045:715:HMN2KDSX2:3:2437:2483:2378	HDHD5
chr22	17137808	R	3	255	83	A01045:715:HMN2KDSX2:3:2504:3522:36464,A01045:715:HMN2KDSX2:3:2504:3586:36699,A01045:715:HMN2KDSX2:3:2460:12735:14090	HDHD5
chr22	17137895	L	4	255	32	A01045:715:HMN2KDSX2:3:2108:26106:22028,A01045:715:HMN2KDSX2:3:1246:14868:17566,A01045:715:HMN2KDSX2:3:1114:5909:33677	HDHD5
chr22	17137902	R	6	255	34	A01045:715:HMN2KDSX2:3:2351:25220:6746,A01045:715:HMN2KDSX2:3:2351:25409:6762,A01045:715:HMN2KDSX2:3:2437:2483:2378	HDHD5
chr22	17137994	L	6	255	47	A01045:715:HMN2KDSX2:3:2227:30011:15107,A01045:715:HMN2KDSX2:3:1425:18313:34334,A01045:715:HMN2KDSX2:3:2278:20130:34037	HDHD5
chr22	17138002	R	6	255	29	A01045:715:HMN2KDSX2:3:1269:33022:1407,A01045:715:HMN2KDSX2:3:1472:21404:15139,A01045:715:HMN2KDSX2:3:1246:14868:17566	HDHD5
chr22	17138027	L	3	255	42	A01045:715:HMN2KDSX2:3:2206:4065:17206,A01045:715:HMN2KDSX2:3:1305:9570:10833,A01045:715:HMN2KDSX2:3:2624:2962:29356	HDHD5
chr22	17138112	R	2	255	31	A01045:715:HMN2KDSX2:3:2227:30011:15107,A01045:715:HMN2KDSX2:3:2206:4065:17206	HDHD5
chr22	17138146	L	2	255	63	A01045:715:HMN2KDSX2:3:1208:22788:22545,A01045:715:HMN2KDSX2:3:2211:25274:13698	HDHD5
chr22	17138182	R	1	255	32	A01045:715:HMN2KDSX2:3:2624:2962:29356	HDHD5
chr22	17138202	L	9	255	26	A01045:715:HMN2KDSX2:3:2110:12979:20087,A01045:715:HMN2KDSX2:3:1264:7057:17566,A01045:715:HMN2KDSX2:3:1502:20039:20729	HDHD5
chr22	17138265	L	1	255	25	A01045:715:HMN2KDSX2:3:1353:2871:21872	HDHD5
chr22	17138328	R	9	255	26	A01045:715:HMN2KDSX2:3:2110:12979:20087,A01045:715:HMN2KDSX2:3:1566:16423:25927,A01045:715:HMN2KDSX2:3:1535:28772:32597	HDHD5
chr22	17138349	L	1	255	39	A01045:715:HMN2KDSX2:3:1408:10330:33974	HDHD5
chr22	17138358	R	2	255	98	A01045:715:HMN2KDSX2:3:1375:32651:13291,A01045:715:HMN2KDSX2:3:2171:1380:15060	HDHD5
chr22	17138505	R	3	255	33	A01045:715:HMN2KDSX2:3:2249:22146:35963,A01045:715:HMN2KDSX2:3:1221:10321:7592,A01045:715:HMN2KDSX2:3:2524:22571:32722	HDHD5
chr22	17138550	L	2	255	52	A01045:715:HMN2KDSX2:3:1372:25798:18176,A01045:715:HMN2KDSX2:3:2176:7835:15060	HDHD5
chr22	17138581	R	1	255	25	A01045:715:HMN2KDSX2:3:1353:2871:21872	HDHD5
chr22	17138649	R	4	255	37	A01045:715:HMN2KDSX2:3:1372:25798:18176,A01045:715:HMN2KDSX2:3:2176:7835:15060,A01045:715:HMN2KDSX2:3:1408:10330:33974	HDHD5
chr22	17138741	R	1	255	36	A01045:715:HMN2KDSX2:3:2560:1371:3427	HDHD5
chr22	17139029	L	2	255	25	A01045:715:HMN2KDSX2:3:2164:7826:24784,A01045:715:HMN2KDSX2:3:2201:31783:6590	HDHD5
chr22	17139153	R	2	255	25	A01045:715:HMN2KDSX2:3:2164:7826:24784,A01045:715:HMN2KDSX2:3:2201:31783:6590	HDHD5
chr22	17139836	L	2	255	47	A01045:715:HMN2KDSX2:3:2472:13865:28447,A01045:715:HMN2KDSX2:3:2539:12201:1767	HDHD5
chr22	17140485	L	2	255	22	A01045:715:HMN2KDSX2:3:1352:9236:34679,A01045:715:HMN2KDSX2:3:1476:5403:13228	HDHD5
chr22	17140612	R	3	255	22	A01045:715:HMN2KDSX2:3:1352:9236:34679,A01045:715:HMN2KDSX2:3:1476:5403:13228,A01045:715:HMN2KDSX2:3:2339:23764:17347	HDHD5
chr22	17141115	R	2	255	49	A01045:715:HMN2KDSX2:3:2152:4824:17487,A01045:715:HMN2KDSX2:3:1370:24270:33473	HDHD5
chr22	17141128	L	3	255	35	A01045:715:HMN2KDSX2:3:2118:2537:36542,A01045:715:HMN2KDSX2:3:1233:1750:11976,A01045:715:HMN2KDSX2:3:2446:5177:10708	HDHD5
chr22	17141161	L	4	255	65	A01045:715:HMN2KDSX2:3:1508:15727:21621,A01045:715:HMN2KDSX2:3:2148:16893:11490,A01045:715:HMN2KDSX2:3:1242:31114:28197	HDHD5
chr22	17141185	R	1	255	80	A01045:715:HMN2KDSX2:3:1272:23656:14434	HDHD5
chr22	17141239	R	1	255	80	A01045:715:HMN2KDSX2:3:2361:25554:26616	HDHD5
chr22	17141673	R	1	255	61	A01045:715:HMN2KDSX2:3:1253:23176:10786	HDHD5
chr22	17141718	L	1	255	31	A01045:715:HMN2KDSX2:3:1120:24089:1407	HDHD5
chr22	17142096	R	1	255	75	A01045:715:HMN2KDSX2:3:1657:21495:19053	HDHD5
chr22	17142332	R	1	255	57	A01045:715:HMN2KDSX2:3:1177:32615:27132	HDHD5
chr22	17143098	L	1	255	21	A01045:715:HMN2KDSX2:3:1146:5719:23578	HDHD5
chr22	17143108	R	4	255	37	A01045:715:HMN2KDSX2:3:1233:1750:11976,A01045:715:HMN2KDSX2:3:2446:5177:10708,A01045:715:HMN2KDSX2:3:2645:9670:1642	HDHD5
chr22	17143151	L	2	255	25	A01045:715:HMN2KDSX2:3:1629:30156:28698,A01045:715:HMN2KDSX2:3:2135:6922:3615	HDHD5
chr22	17143275	R	2	255	25	A01045:715:HMN2KDSX2:3:1629:30156:28698,A01045:715:HMN2KDSX2:3:2135:6922:3615	HDHD5
chr22	17144414	L	1	255	94	A01045:715:HMN2KDSX2:3:2534:14479:19272	HDHD5
chr22	17145028	L	3	255	85	A01045:715:HMN2KDSX2:3:1650:13132:4977,A01045:715:HMN2KDSX2:3:2450:29026:12774,A01045:715:HMN2KDSX2:3:2462:1669:32471	HDHD5
chr22	17145034	R	2	255	41	A01045:715:HMN2KDSX2:3:1242:31114:28197,A01045:715:HMN2KDSX2:3:1312:29288:29387	HDHD5
chr22	17145110	L	1	255	89	A01045:715:HMN2KDSX2:3:2452:4182:12743	HDHD5
chr22	17145118	R	2	255	55	A01045:715:HMN2KDSX2:3:1529:31711:9690,A01045:715:HMN2KDSX2:3:1628:9851:7560	HDHD5
chr22	17145419	L	4	255	36	A01045:715:HMN2KDSX2:3:1425:24740:4883,A01045:715:HMN2KDSX2:3:1176:9824:35634,A01045:715:HMN2KDSX2:3:1333:21350:15953	HDHD5
chr22	17145532	R	4	255	36	A01045:715:HMN2KDSX2:3:1425:24740:4883,A01045:715:HMN2KDSX2:3:1176:9824:35634,A01045:715:HMN2KDSX2:3:1333:21350:15953	HDHD5
chr22	17145627	R	5	255	22	A01045:715:HMN2KDSX2:3:1520:4381:12868,A01045:715:HMN2KDSX2:3:1140:14823:22373,A01045:715:HMN2KDSX2:3:1372:7563:5509	HDHD5
chr22	17145692	L	2	255	32	A01045:715:HMN2KDSX2:3:1228:29604:24111,A01045:715:HMN2KDSX2:3:1615:23520:3270	HDHD5
chr22	17145707	R	1	255	60	A01045:715:HMN2KDSX2:3:1615:23520:3270	HDHD5
chr22	17146047	R	2	255	71	A01045:715:HMN2KDSX2:3:1154:3622:36511,A01045:715:HMN2KDSX2:3:2339:20338:37059	HDHD5
chr22	17146247	L	1	255	34	A01045:715:HMN2KDSX2:3:1504:11984:22936	HDHD5
chr22	17146363	R	1	255	33	A01045:715:HMN2KDSX2:3:1504:11984:22936	HDHD5
chr22	17146375	L	3	255	40	A01045:715:HMN2KDSX2:3:1324:10185:5353,A01045:715:HMN2KDSX2:3:2313:5728:5838,A01045:715:HMN2KDSX2:3:2371:32615:16329	HDHD5
chr22	17146417	L	2	255	63	A01045:715:HMN2KDSX2:3:1549:18674:25880,A01045:715:HMN2KDSX2:3:2418:32154:26428	HDHD5
chr22	17146454	R	3	255	37	A01045:715:HMN2KDSX2:3:1324:10185:5353,A01045:715:HMN2KDSX2:3:2313:5728:5838,A01045:715:HMN2KDSX2:3:1303:11487:6010	HDHD5
chr22	17146506	R	1	255	48	A01045:715:HMN2KDSX2:3:1549:18674:25880	HDHD5
chr22	17146519	L	2	255	29	A01045:715:HMN2KDSX2:3:1510:12481:29183,A01045:715:HMN2KDSX2:3:1303:11487:6010	HDHD5
chr22	17146617	L	1	255	32	A01045:715:HMN2KDSX2:3:1573:4661:24878	HDHD5
chr22	17146696	R	1	255	22	A01045:715:HMN2KDSX2:3:1573:4661:24878	HDHD5
chr22	17146952	L	2	255	37	A01045:715:HMN2KDSX2:3:1512:9462:13401,A01045:715:HMN2KDSX2:3:1621:3866:20369	HDHD5
chr22	17147236	L	1	255	31	A01045:715:HMN2KDSX2:3:2460:2844:29622	HDHD5
chr22	17147317	L	1	255	35	A01045:715:HMN2KDSX2:3:2460:2844:29622	HDHD5
chr22	17147474	L	8	255	34	A01045:715:HMN2KDSX2:3:1238:29378:14857,A01045:715:HMN2KDSX2:3:2639:32850:1360,A01045:715:HMN2KDSX2:3:1256:29008:1251	HDHD5
chr22	17147496	L	2	255	34	A01045:715:HMN2KDSX2:3:1562:28212:8265,A01045:715:HMN2KDSX2:3:2116:30418:21762	HDHD5
chr22	17147556	R	5	255	30	A01045:715:HMN2KDSX2:3:1452:24469:10989,A01045:715:HMN2KDSX2:3:1512:9462:13401,A01045:715:HMN2KDSX2:3:1621:3866:20369	HDHD5
